1,The Howling Abomination,Commander
13,Forest,Land
12,Mountain,Land
1,Wooded Ridgeline,Land
1,Temple of Abandon,Land
1,Rogue's Passage,Land
1,Mossfire Valley,Land
1,Gruul Turf,Land
1,Game Trail,Land
1,Evolving Wilds,Land
1,Command Tower,Land
1,Cinder Glade,Land
1,Wild Defiance,Enchantment
1,Sticky Fingers,Enchantment
1,Spider Umbra,Enchantment
1,Snake Umbra,Enchantment
1,Season of Growth,Enchantment
1,Rancor,Enchantment
1,Keen Sense,Enchantment
1,Dragon Mantle,Enchantment
1,Swiftfoot Boots,Artifact
1,Sol Ring,Artifact
1,Livewire Lash,Artifact
1,Gruul Signet,Artifact
1,Arcane Signet,Artifact
1,Soul's Majesty,Sorcery
1,Rile,Sorcery
1,Renegade Tactics,Sorcery
1,Rampant Growth,Sorcery
1,Past in Flames,Sorcery
1,Kodama's Reach,Sorcery
1,Irresistible Prey,Sorcery
1,Harmonize,Sorcery
1,Grapeshot,Sorcery
1,Cultivate,Sorcery
1,Bushwhack,Sorcery
1,Assault Strobe,Sorcery
1,Ancestral Anger,Sorcery
1,Withstand Death,Instant
1,Viridescent Wisps,Instant
1,Verdant Rebirth,Instant
1,Unleash Fury,Instant
1,Tyvar's Stand,Instant
1,Twinferno,Instant
1,Temur Battle Rage,Instant
1,Tamiyo's Safekeeping,Instant
1,Soul's Fire,Instant
1,Snakeskin Veil,Instant
1,Ranger's Guile,Instant
1,Ram Through,Instant
1,Psychotic Fury,Instant
1,Prizefight,Instant
1,Poison the Blade,Instant
1,Hunter's Insight,Instant
1,Gaea's Gift,Instant
1,Fists of Flame,Instant
1,Expedite,Instant
1,Embiggen,Instant
1,Charge Through,Instant
1,Blossoming Defense,Instant
1,Blazing Crescendo,Instant
1,Beast Within,Instant
1,Aggressive Urge,Instant
1,Zhur-Taa Druid,Creature
1,"Zada, Hedron Grinder",Creature
1,Young Pyromancer,Creature
1,"Torbran, Thane of Red Fell",Creature
1,Thermo-Alchemist,Creature
1,Storm-Kiln Artist,Creature
1,Llanowar Elves,Creature
1,"Krark, the Thumbless",Creature
1,Kessig Flamebreather,Creature
1,"Kediss, Emberclaw Familiar",Creature
1,Guttersnipe,Creature
1,Goblin Anarchomancer,Creature
1,Firebrand Archer,Creature
1,Elvish Mystic,Creature
